"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C26";"SM1206";1;"100uF";;;
2;"X1";"_TSX-3225-SMD-XTAL";1;"CRYSTAL 16MHz 10ppm";;;
3;"U3";"_TSOT23-6";1;"LTC4412";;;
4;"U6";"_TSOT23-5";1;"LT1761-3.3";;;
5;"U4";"_SOT23-8";1;"MAX3051";;;
6;"U5,U7";"_MSOP-8-EP";2;"LT1965";;;
7;"U8";"_MS5611-01BA";1;"MS5611-01BA";;;
8;"CONN3";"_Micro-USB-AB-receptacle-SMT";1;"MICRO_USB";;;
9;"U2";"_LQFP64";1;"STM32F415RGT6";;;
10;"U10";"_HMC5883L";1;"HMC5883L";;;
11;"U11";"_H3LIS331DL";1;"H3LIS331DL";;;
12;"Q2";"_FAIRCHILD-MOSFET-SuperSOT-6";1;"FDC638APZ";;;
13;"Q1";"_FAIRCHILD-MOSFET-SuperSOT-3";1;"FDN306P";;;
14;"_M2,_M2,_M2,_M2";"_M2";4;"VAL**";;;
15;"C6,C13,C9,C14,C10,C8,C7,C3,C28,C34,C32,C33,C29,C30,C19,C4,C17";"_0603-W";17;"0.1uF";;;
16;"R21,R20,R14";"_0603-W";3;"47k";;;
17;"C11,C12";"_0603-W";2;"2.2uF";;;
18;"R8,R9,R7,R1,R6";"_0603-W";5;"1k";;;
19;"R5,R2";"_0603-W";2;"10k";;;
20;"R17,R16,R10,R11";"_0603-W";4;"4.7k";;;
21;"C5,C2,C21,C27";"_0603-W";4;"1uF";;;
22;"C1,C37,C18,C22,C25,C20,C23";"_0603-W";7;"10uF";;;
23;"C36";"_0603-W";1;"4.7uF";;;
24;"C35";"_0603-W";1;"0.22uF";;;
25;"C31";"_0603-W";1;"2.2nF 50V";;;
26;"R18";"_0603-W";1;"NP / 120";;;
27;"R12,R13";"_0603-W";2;"22";;;
28;"F1";"_0603-W";1;"FUSE 500mA";;;
29;"R15";"_0603-W";1;"0";;;
30;"R4,R3";"_0603-W";2;"R";;;
31;"FB1";"_0603-W";1;"BLM18KG601SN1";;;
32;"C24";"_0603-W";1;"0.01uF";;;
33;"C15,C16";"_0603-W";2;"10pF";;;
34;"D4";"_0603-W";1;"STATUS";;;
35;"D1";"_0603-W";1;"SD ACT";;;
36;"D5";"_0603-W";1;"HEARTBEAT";;;
37;"D3";"_0603-W";1;"ERROR";;;
38;"D2";"_0603-W";1;"POWER";;;
39;"U9";"_MPU-60X0";1;"MPU6000";;;
40;"CONN2";"_Molex-microSD-502570-0893";1;"MICRO_SD";;;
41;"CONN4";"_Molex-PicoBlade-SMD-4";1;"I2C/UART";;;
42;"CONN5";"_Molex-PicoBlade-SMD-4";1;"CAN";;;
43;"CONN6,CONN8,CONN9,CONN7";"_Molex-PicoBlade-SMD-4";4;"UART";;;
44;"CONN1";"_Molex-PicoBlade-SMD-8";1;"JTAG";;;
45;"P1";"_Molex-PicoBlade-SMD-2";1;"PWR";;;
46;"P2";"_Solder_Pad2.54_2";1;"Power (Solder Pad)";;;
47;"D6";"_SC79";1;"BAS52-02V";;;
48;"U1";"_TSSOP-8";1;"24LC128";;;
